Group,Metric,Indigenous_%,Non_Indigenous_%
Undergraduate,Full-time,77.0,89.7
Undergraduate,Overall,74.3,88.9
Postgrad Coursework,Full-time,91.4,98.0
Postgrad Coursework,Overall,86.5,93.2
